DATES;OR FP Equity;DG FP Equity;ASML NA Equity;SAN SQ Equity;PHIA NA Equity;FP FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;KER FP Equity;AMS SQ Equity;SAF FP Equity;AD NA Equity;IBE SQ Equity;UNA NA Equity;INGA NA Equity;LIN GY Equity;PRX NA Equity;ITX SQ Equity;KNEBV FH Equity;ISP IM Equity;ENI IM Equity;ENGI FP Equity;ABI BB Equity;ADYEN NA Equity;SAN FP Equity;ENEL IM Equity;NOKIA FH Equity;SU FP Equity;ALV GY Equity;AIR FP Equity;BAYN GY Equity;BMW GY Equity;CRH ID Equity;BAS GY Equity;SIE GY Equity;VOW3 GY Equity;MUV2 GY Equity;SAP GY Equity;RI FP Equity;ADS GY Equity;DTE GY Equity;DPW GY Equity;DAI GY Equity;DB1 GY Equity;VNA GY Equity
30/12/2010;84,3;41,12;29,005;7,797631968;22,50351617;40,12;63,66570137;12,585;48,425;47,76;49,255;19,8531861;111,1663505;109,710457;15,68;26,605;11,40912493;5,768;23,615;7,265;#N/A;#N/A;11,206;20,8;1,903892137;16,34;27,24;43,1;#N/A;48,65;3,74;7,74;56,85;88,93;17,765;54,4204535;58,85;15,54;59,7;81,30752321;121,4;113,45;38,1;71,25;48,89;9,655;12,7;50,73;51,8;#N/A
31/12/2010;83,08;40,68;28,9;#N/A;22,46431144;39,65;62,96052223;12,45;47,61;47,02;48,175;19,548348;110,9410437;108,8869423;#N/A;26,5;11,36768743;#N/A;23,47;7,28;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;26,85;42,8;#N/A;47,85;#N/A;#N/A;56;#N/A;17,44;#N/A;#N/A;15,5;#N/A;#N/A;#N/A;#N/A;#N/A;70,36;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/01/2011;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
02/01/2011;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
03/01/2011;85,5;41,72;29,23;7,837957764;23,11118952;40,59;63,90519617;12,83;49,335;47,93;48,48;20,1047985;112,0675775;110,945729;15,35;27,415;11,4471093;5,762;23,79;7,396;#N/A;#N/A;11,144;21,2;1,927339085;16,42;27,3;43,05;#N/A;49,39;3,775;8,015;58,225;89,72;17,785;53,99729265;61,45;#N/A;60,42;82,41267401;127,6;114,85;38,215;71,13;48,94;9,713;12,895;51,71;52,69;#N/A
04/01/2011;85,04;41,425;28,3;7,855661772;22,87106054;41,13;63,7322277;13,075;50;47,475;48,965;20,1822177;109,5441419;109,3902012;14,6;27,75;11,4413541;5,755;23,735;7,538;#N/A;#N/A;11,26;21,105;1,964854201;16,63;27,595;43;#N/A;49,69;3,81;8,03;58,8;89,99;17,93;53,4363585;60,74;15,18;58,8;80,86020027;129,05;114,15;38,19;69,9;48,395;9,67;12,94;51,99;54,22;#N/A
05/01/2011;84,66;40,875;27,75;7,80451686;22,8367564;41,29;63,20001703;13,24;50,15;46,755;48,75;20,0031858;107,9669946;108,6124374;14,64;27,4;11,33776035;5,67;23,36;7,469;#N/A;#N/A;11,22;20,925;1,929683779;16,85;27,575;43,075;#N/A;49,84;3,7725;8,195;57,775;89,78;18,39;53,32810805;60,03;14,57;57,89;79,60594182;125,75;113;38,12;68,9;47,445;9,618;12,91;53,6;53,47;#N/A
06/01/2011;84,57;40,385;27,655;7,64223012;22,59662741;41,55;62,06241673;13,5;49,835;46,44;48,395;20,1096372;109,8595713;107,8804243;14,27;27,735;11,3089843;5,629;23,33;7,58;#N/A;#N/A;11,15;#N/A;1,92499439;17,18;27,515;44,005;#N/A;50,28;3,8025;#N/A;57,15;91,18;19,08;54,8337734;59,9;14,39;57,94;78,93057189;124,85;114;38,175;68,74;47,45;9,777;13,04;54,6;53,89;#N/A
07/01/2011;83,7;39,995;27,93;7,4750256;23,45913152;41,22;61,43706919;13,205;48,715;46,17;48,4;19,8822183;107,5614425;106,3706474;14,355;28,2;11,26064055;5,527;23,535;7,435;#N/A;#N/A;11,202;20,93;1,88044519;17,15;27,215;43,685;#N/A;49,75;3,7725;8,14;57,575;90,83;19,15;54,6172725;59,31;14,3;57,1;78,69375386;127,85;113,35;38,075;69,87;47,55;9,857;13,025;54,53;53,3;#N/A
08/01/2011;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
