#NAME?;OR FP Equity;DG FP Equity;URW NA Equity;FP FP Equity;DSY FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;VIV FP Equity;EL FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;UG FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;ALO FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;ACA FP Equity;ATO FP Equity;RI FP Equity;STM FP Equity
DATES;px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d')
02/09/2011;81,68;35,48;138,5;39,875;30,85;65,01618594;10,405;30;48,385;24,98;16,74;31,44;15,4935174;57,01;102,3793872;47,58;106,965408;9,347693285;37,32;29,605;24;24,74;17,85;239,85;21,25;11,92;35,08090911;23,3;23,655;8,212;56,47;15,9;45,02;25,17;25,48;4,15;26,42462623;73,87;4,922
03/09/2011;80,96;35,395;138,3;39,05;30,625;64,75673324;10,475;31,01;47,56;24,65;16,63;31,645;15,4741626;57,11;103,0102461;48,115;106,3248966;9,773572747;37,8;29,98;24,135;24,82;18,115;242,3;21,225;11,805;35,68575237;23,37;23,64;8,43;55,88;16,295;44,95;25,035;25,635;4,224;26,51158666;73,97;5,009
04/09/2011;80,01;35,045;136,8;39,015;30,62;65,14923861;10,5;31,79;47,045;25,15;16,765;32,005;15,3580338;56,75;102,5596326;47,98;106,1418933;9,780791043;37,775;29,99;24,105;24,685;17,865;251,95;20,9;11,67;35,87185799;23,86;24,18;8,37;55,62;16,34;45,575;25,15;25,62;4,208;26,73465905;73,26;4,968
05/09/2011;80,56;35,19;138,9;39,485;30,79;65,02283858;10,535;32,305;46,885;25,845;16,58;32,02;15,5612592;57;105,4886204;49,755;107,0111588;10,18862477;38,03;30,87;24,39;24,71;18,135;248,6;21,045;11,735;36,39528004;23,79;24,36;8,509;55,96;16,545;45,32;25,675;25,425;4,252;26,91992256;73,94;5,323
06/09/2011;81,6;36,01;139,15;40,25;30,825;65,86107038;10,86;32,49;47,2;26,22;16,985;32,8;15,7015815;57,25;105,6238044;50,54;106,1876441;10,26441687;38,36;31,68;24,585;25,045;18,355;252,55;21,54;11,915;36,52322765;24,36;24,68;8,614;56,44;16,86;47,6;25,79;26,015;4,291;27,39253356;74,08;5,3
07/09/2011;81,78;36,2;139,1;40,08;31,05;65,76128088;10,975;32,06;46,3;26,505;17,46;33,22;15,387066;57,03;106,3898474;50,24;107,4229161;10,3041175;38,47;31,89;24,645;25,11;18,115;258,95;21,03;11,51;36,58138566;24,44;24,755;8,139;56,48;17,76;47,38;25,865;26,1;4,43;27,70634726;74,33;5,588
08/09/2011;82,35;36,835;143,9;40,44;31,615;65,77458615;11,67;34,7;46,95;27,62;17,265;34,575;15,5612592;57,1;108,3274854;51,84;108,2464308;10,3943462;38,89;32,425;23,9;25,645;18,725;254,95;21,395;11,54;38,07023061;24,96;28,15;8,08;55,97;20,095;48,565;25,525;27,32;4,838;28,05418896;73,53;5,626
09/09/2011;81,06;36,77;146,5;39,85;31,5;65,23572284;11,92;35,325;47,495;27,765;17;33,89;15,5709366;56,08;108,6429149;51,93;109,8019586;10,76608844;38,895;32,645;23,4;25,655;18,81;251,9;21,125;11,465;37,79107218;24,65;28,21;8,124;55,52;21,005;48,2;25,65;27,235;4,96;28,36800266;73,9;5,59
10/09/2011;80,7;37,055;147,35;40;31,66;64,94965961;12,05;36,05;47,03;27,91;17,05;34,58;15,6870654;56,33;108,6429149;52,42;109,6189553;10,8454897;39,09;33,295;23,86;25,6;19,005;253,6;20,36;11,445;38,39591544;24,705;29,64;7,952;55,44;22,8;48,605;25,645;27,31;5,212;28,42471598;73,67;5,628
11/09/2011;80,82;36,325;145,95;40,42;31,62;65,10267018;11,94;35,39;47,31;27,425;16,92;33,96;15,4160982;56,71;108,5077308;51,86;109,5732045;10,65420486;38,525;32,645;23,825;25,45;18,86;256,85;20,81;11,195;38,15165182;24,055;28,895;8,226;55,75;21,57;48,5;25,97;26,795;5;27,95588587;73,02;5,3
